3.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
125.9438 	EXP 	grating: autoDraw = False
125.9442 	EXP 	window1: recordFrameIntervals = False
126.9231 	EXP 	fixation: autoDraw = True
127.9268 	EXP 	fixation: autoDraw = False
127.9436 	EXP 	grating: autoDraw = True
127.9436 	EXP 	grating: tex = 'sin'
128.2143 	DATA 	Keypress: right
128.2291 	EXP 	window1: recordFrameIntervals = False
128.2432 	EXP 	grating: autoDraw = False
128.2432 	EXP 	fixation: autoDraw = False
128.2432 	EXP 	grating: autoDraw = False
128.2434 	EXP 	window1: recordFrameIntervals = False
129.2200 	EXP 	fixation: autoDraw = True
130.2262 	EXP 	fixation: autoDraw = False
130.2432 	EXP 	grating: autoDraw = True
130.2432 	EXP 	grating: tex = 'sin'
130.5292 	EXP 	window1: recordFrameIntervals = False
130.5310 	DATA 	Keypress: right
130.5426 	EXP 	grating: autoDraw = False
130.5426 	EXP 	fixation: autoDraw = False
130.5426 	EXP 	grating: autoDraw = False
130.5430 	EXP 	window1: recordFrameIntervals = False
131.5213 	EXP 	fixation: autoDraw = True
132.5257 	EXP 	fixation: autoDraw = False
132.5427 	EXP 	grating: autoDraw = True
132.5427 	EXP 	grating: tex = 'sin'
132.8420 	EXP 	grating: autoDraw = False
132.8782 	EXP 	window1: recordFrameIntervals = False
132.8794 	DATA 	Keypress: right
132.8921 	EXP 	fixation: autoDraw = False
132.8921 	EXP 	grating: autoDraw = False
132.8924 	EXP 	window1: recordFrameIntervals = False
133.8705 	EXP 	fixation: autoDraw = True
134.8749 	EXP 	fixation: autoDraw = False
134.8918 	EXP 	grating: autoDraw = True
134.8918 	EXP 	grating: tex = 'sin'
135.1915 	EXP 	grating: autoDraw = False
135.1957 	EXP 	window1: recordFrameIntervals = False
135.1974 	DATA 	Keypress: left
135.2081 	EXP 	fixation: autoDraw = False
135.2081 	EXP 	grating: autoDraw = False
135.2082 	EXP 	window1: recordFrameIntervals = False
136.1852 	EXP 	fixation: autoDraw = True
137.1911 	EXP 	fixation: autoDraw = False
137.2079 	EXP 	grating: autoDraw = True
137.2079 	EXP 	grating: tex = 'sin'
137.4947 	EXP 	window1: recordFrameIntervals = False
137.4967 	DATA 	Keypress: right
137.5077 	EXP 	grating: autoDraw = False
137.5077 	EXP 	fixation: autoDraw = False
137.5077 	EXP 	grating: autoDraw = False
137.5082 	EXP 	window1: recordFrameIntervals = False
138.4853 	EXP 	fixation: autoDraw = True
139.4906 	EXP 	fixation: autoDraw = False
139.5078 	EXP 	grating: autoDraw = True
139.5078 	EXP 	grating: tex = 'sin'
139.7930 	EXP 	window1: recordFrameIntervals = False
139.7943 	DATA 	Keypress: left
139.8070 	EXP 	grating: autoDraw = False
139.8070 	EXP 	fixation: autoDraw = False
139.8070 	EXP 	grating: autoDraw = False
139.8073 	EXP 	window1: recordFrameIntervals = False
140.7843 	EXP 	fixation: autoDraw = True
141.7899 	EXP 	fixation: autoDraw = False
141.8068 	EXP 	grating: autoDraw = True
141.8068 	EXP 	grating: tex = 'sin'
142.0954 	EXP 	window1: recordFrameIntervals = False
142.0971 	DATA 	Keypress: left
142.1065 	EXP 	grating: autoDraw = False
142.1065 	EXP 	fixation: autoDraw = False
142.1065 	EXP 	grating: autoDraw = False
142.1068 	EXP 	window1: recordFrameIntervals = False
143.0874 	EXP 	fixation: autoDraw = True
144.0897 	EXP 	fixation: autoDraw = False
144.1066 	EXP 	grating: autoDraw = True
144.1066 	EXP 	grating: tex = 'sin'
144.3779 	EXP 	window1: recordFrameIntervals = False
144.3805 	DATA 	Keypress: left
144.3898 	EXP 	fixation: autoDraw = False
144.3898 	EXP 	grating: autoDraw = False
144.3904 	EXP 	window1: recordFrameIntervals = False
145.3676 	EXP 	fixation: autoDraw = True
146.3724 	EXP 	fixation: autoDraw = False
146.3893 	EXP 	grating: autoDraw = True
146.3893 	EXP 	grating: tex = 'sin'
146.6890 	EXP 	grating: autoDraw = False
146.6942 	EXP 	window1: recordFrameIntervals = False
